0.05	0.000
0.10	0.000
0.15	0.000
0.20	0.000
0.25	0.000
0.30	0.000
0.35	0.000
0.40	0.000
0.45	0.000
0.50	0.020
0.55	0.060
0.60	0.100
0.65	0.180
0.70	0.200
0.75	0.240
0.80	0.220
0.85	0.240
0.90	0.260
0.95	0.260
1.00	0.260
1.05	0.260
1.10	0.260
1.15	0.280
1.20	0.280
1.25	0.280
1.30	0.300
1.35	0.280
1.40	0.300
1.45	0.300
1.50	0.300
1.55	0.300
1.60	0.300
1.65	0.300
1.70	0.300
1.75	0.320
1.80	0.280
1.85	0.300
1.90	0.320
1.95	0.300
2.00	0.300
2.05	0.300
2.10	0.320
2.15	0.320
2.20	0.300
2.25	0.320
2.30	0.340
2.35	0.300
2.40	0.340
2.45	0.320
2.50	0.320
2.55	0.320
2.60	0.320
2.65	0.320
2.70	0.320
2.75	0.320
2.80	0.340
2.85	0.340
2.90	0.320
2.95	0.320
3.00	0.320
3.05	0.320
3.10	0.340
3.15	0.320
3.20	0.320
3.25	0.300
3.30	0.320
3.35	0.300
3.40	0.300
3.45	0.320
3.50	0.300
3.55	0.300
3.60	0.280
3.65	0.280
3.70	0.280
3.75	0.300
3.80	0.280
3.85	0.300
3.90	0.300
3.95	0.260
4.00	0.280
4.05	0.280
4.10	0.280
4.15	0.260
4.20	0.280
4.25	0.300
4.30	-1.720
4.35	2.280
4.40	-2.280
4.45	2.840
4.50	0.280
4.55	0.280
4.60	0.300
4.65	0.300
4.70	0.280
4.75	0.280
4.80	0.300
4.85	0.120
4.90	-0.020
4.95	0.000
5.00	0.000
5.05	0.000
5.10	0.000
5.15	0.000
5.20	0.000
5.25	0.000
5.30	0.000
5.35	0.000
5.40	0.000
5.45	0.000
5.50	0.000
5.55	0.000
5.60	0.000
5.65	0.000
5.70	0.000
5.75	0.000
5.80	0.000
5.85	0.000
5.90	0.000
5.95	0.000
6.00	0.000
6.05	0.000
6.10	0.000
6.15	0.000
6.20	0.000
6.25	0.000
6.30	0.000
6.35	0.000
6.40	0.000
6.45	0.000
6.50	0.000
6.55	0.000
6.60	0.000
6.65	0.000
6.70	0.000
6.75	0.000
6.80	0.000
6.85	0.000
6.90	0.000
6.95	0.000
7.00	0.000
7.05	0.000
7.10	0.000
7.15	0.000
7.20	0.000
7.25	0.000
7.30	0.000
7.35	0.000
7.40	0.000
7.45	0.000
7.50	0.000
7.55	0.000
7.60	0.000
7.65	0.000
7.70	0.000
7.75	0.000
7.80	0.000
7.85	0.000
7.90	0.000
7.95	0.000
8.00	0.000
8.05	0.000
8.10	0.000
8.15	0.000
8.20	0.000
8.25	0.000
8.30	0.000
8.35	0.000
8.40	0.000
8.45	0.000
8.50	0.000
8.55	0.000
8.60	0.000
8.65	0.000
8.70	0.000
8.75	0.000
8.80	0.000
8.85	0.000
8.90	0.000
8.95	0.000
9.00	0.000
9.05	0.000
9.10	0.000
9.15	0.000
9.20	0.000
9.25	0.000
9.30	0.000
9.35	0.000
9.40	0.000
9.45	0.000
9.50	0.000
9.55	0.000
9.60	0.000
9.65	0.000
9.70	0.000
9.75	0.000
9.80	0.000
