0.05	0.000
0.10	0.000
0.15	0.000
0.20	0.000
0.25	0.000
0.30	0.000
0.35	0.000
0.40	0.000
0.45	0.000
0.50	0.240
0.55	0.520
0.60	0.760
0.65	1.060
0.70	1.400
0.75	0.900
0.80	0.820
0.85	1.140
0.90	0.840
0.95	0.760
1.00	0.780
1.05	0.700
1.10	0.620
1.15	0.620
1.20	0.540
1.25	0.540
1.30	0.500
1.35	0.480
1.40	0.420
1.45	0.380
1.50	0.380
1.55	0.360
1.60	0.360
1.65	0.340
1.70	0.320
1.75	0.320
1.80	0.300
1.85	0.260
1.90	0.300
1.95	0.280
2.00	0.280
2.05	0.280
2.10	0.300
2.15	0.280
2.20	0.260
2.25	0.260
2.30	0.260
2.35	0.260
2.40	0.260
2.45	0.280
2.50	0.280
2.55	0.260
2.60	0.260
2.65	0.260
2.70	0.280
2.75	0.260
2.80	0.280
2.85	0.260
2.90	0.300
2.95	0.260
3.00	0.260
3.05	0.280
3.10	0.260
3.15	0.020
3.20	-0.020
3.25	0.000
3.30	0.000
3.35	0.000
3.40	0.000
3.45	0.000
3.50	0.000
3.55	0.000
3.60	0.000
3.65	0.000
3.70	0.000
3.75	0.000
3.80	0.000
3.85	0.000
3.90	0.000
3.95	0.000
4.00	0.000
4.05	0.000
4.10	0.000
4.15	0.000
4.20	0.000
4.25	0.000
4.30	0.000
4.35	0.000
4.40	0.000
4.45	0.000
4.50	0.000
4.55	0.000
4.60	0.000
4.65	0.000
4.70	0.000
4.75	0.000
4.80	0.000
4.85	0.000
4.90	0.000
