0.125,0.002,3.973,0.022
0.147,0.002,3.898,0.020
0.183,0.004,3.842,0.020
0.269,0.008,3.765,0.020
0.209,0.004,3.515,0.017
0.152,0.002,3.442,0.017
0.430,0.004,3.695,0.020
