0.0035088	3.4472E-006	136.4	0.42	A
0.0034922	3.4148E-006	118	0.42	A
0.0034813	3.3934E-006	105.5	0.42	A
0.0034728	3.3769E-006	95.9	0.42	A
0.0034662	3.3641E-006	87.5	0.42	A
0.0034578	3.3478E-006	81	0.42	A
0.0034513	3.3351E-006	78.2	0.42	A
0.0034447	3.3225E-006	72.4	0.42	A
0.0034388	3.3111E-006	70.4	0.42	A
0.0034341	0.000003302	67	0.42	A
0.0034294	3.2929E-006	64.6	0.42	A
0.0035174	3.4642E-006	61.1	0.42	B
0.0034971	3.4243E-006	54.5	0.42	B
0.0034855	3.4017E-006	48.3	0.42	B
0.0034758	3.3828E-006	42.2	0.42	B
0.003468	3.3676E-006	39	0.42	B
0.0034608	3.3536E-006	35.7	0.42	B
0.0034536	3.3397E-006	33.1	0.42	B
0.0034465	3.3259E-006	31.1	0.42	B
0.0034406	3.3145E-006	29.7	0.42	B
0.0034358	3.3054E-006	28.4	0.42	B
0.0034305	3.2952E-006	27.4	0.42	B
0.0035292	3.4875E-006	27	0.42	C
0.0035039	3.4376E-006	24.6	0.42	C
0.0034898	0.00000341	20.4	0.42	C
0.0034795	3.3899E-006	19.2	0.42	C
0.003471	3.3734E-006	17	0.42	C
0.0034632	3.3583E-006	15.5	0.42	C
0.003456	3.3443E-006	14.4	0.42	C
0.0034489	3.3305E-006	13.5	0.42	C
0.0034429	3.3191E-006	12.7	0.42	C
0.0034376	3.3088E-006	12	0.42	C
0.0034323	3.2986E-006	11.6	0.42	C
0.0035236	3.4764E-006	40.5	0.42	O
0.0035014	3.4327E-006	36.7	0.42	O
0.0034874	3.4053E-006	32.5	0.42	O
0.0034783	3.3875E-006	28.8	0.42	O
0.0034692	3.3699E-006	25.6	0.42	O
0.003462	3.3559E-006	23.4	0.42	O
0.0034542	3.3409E-006	21.3	0.42	O
0.0034483	3.3294E-006	20.5	0.42	O
0.0034417	3.3168E-006	19.1	0.42	O
0.003437	3.3077E-006	18.5	0.42	O
0.0034323	3.2986E-006	18	0.42	O
