# Kennlinie der Diode, Stromrichtig, Sperrrichtung
# R = 180 Ohm
# U [V], Fehler U, I [uA], Fehler I
 0.003 0.001 0.0 0.1
 0.092 0.001 0.0 0.1
 2.593 0.001 0.0 0.1
 4.030 0.001 0.0 0.1
 8.15  0.01  0.0 0.1
11.02  0.01  0.0 0.1
14.19  0.01  0.0 0.1
18.28  0.01  0.0 0.1
22.49  0.01  0.0 0.1
27.42  0.01  0.0 0.1
31.61  0.01  0.0 0.1
