1;0.234323079;0.002349124;1.712446836;0.010670216
3;0.137061691;0.002692622;2.587578942;0.034723544
4;0.000025447;0.002473746;7258.575336704;705549.296838963
5;0.064551115;0.000783697;4.328070198;0.038586405
6;0.000018151;0.000802038;9296.666307993;410750.864123279
8;0.000055586;0.006043078;9464.569544961;1028870.329427026
9;0.056176414;0.003238646;11.769601598;0.610721990
10;0.000506829;0.002435391;1048.605689310;5033.616801705
12;0.023104090;0.000455793;24.461889142;0.449324128
13;0.151941901;0.004009037;9.165556844;0.209119500
14;0.020023303;0.007399827;57.068501601;20.668276883
15;0.124123660;0.004831119;11.372303520;0.378235996
16;0.058236287;0.003119716;22.080109304;1.095836562
17;0.038022454;0.000844822;31.702751703;0.651240297
19;0.000166088;0.011733517;9173.866759689;648006.239084601
20;0.000051026;0.006222569;29302.637142890;3573283.123005974
21;0.048299274;0.002221751;34.421119941;1.497368059
22;0.000048208;0.003199399;30909.476474104;2051234.076176496
24;0.033720366;0.000908096;48.086308344;1.218341018
31;0.083863504;0.002351244;8.545682404;0.214534031
34;0.000022654;0.002522845;25456.392236812;2834779.507262784
40;0.000074244;0.001311406;6165.999785984;108895.118479244
41;0.029256411;0.000677272;17.716484700;0.373549164
46;0.000026461;0.002635396;11330.528965500;1128414.237966297
47;0.033090059;0.000773935;11.653205476;0.240166418
49;0.030844488;0.003150121;6.408364033;0.605264102
52;0.000014901;0.002018820;9395.255041645;1272847.846607066
53;0.033318429;0.000398406;5.985885412;0.059915875
54;0.000015788;0.000313511;9343.442387598;185520.295124000
55;0.141682894;0.003434346;1.120480516;0.014328025
57;0.062939082;0.000824182;1.565143469;0.014705013
60;0.000003621;0.000617092;10870.619265638;1852357.683198224
